#  eqr  t           h           cp          p           
   0.1  1.0784E+03  1.4725E+02  1.2080E+00  3.5000E+01
   0.2  1.2945E+03  1.3575E+02  1.2643E+00  3.5000E+01
   0.3  1.4966E+03  1.2439E+02  1.3168E+00  3.5000E+01
   0.4  1.6866E+03  1.1318E+02  1.3682E+00  3.5000E+01
   0.5  1.8654E+03  1.0211E+02  1.4210E+00  3.5000E+01
   0.6  2.0339E+03  9.1183E+01  1.4792E+00  3.5000E+01
   0.7  2.1920E+03  8.0393E+01  1.5528E+00  3.5000E+01
   0.8  2.3380E+03  6.9739E+01  1.6652E+00  3.5000E+01
   0.9  2.4652E+03  5.9218E+01  1.8679E+00  3.5000E+01
   1.0  2.5506E+03  4.8827E+01  2.1327E+00  3.5000E+01
   1.1  2.5480E+03  3.8564E+01  1.8794E+00  3.5000E+01
   1.2  2.4856E+03  2.8426E+01  1.6711E+00  3.5000E+01
   1.3  2.4106E+03  1.8412E+01  1.6069E+00  3.5000E+01
   1.4  2.3343E+03  8.5183E+00  1.5844E+00  3.5000E+01
   1.5  2.2593E+03  -1.2562E+00  1.5765E+00  3.5000E+01
   1.6  2.1862E+03  -1.0914E+01  1.5748E+00  3.5000E+01
   1.7  2.1151E+03  -2.0457E+01  1.5760E+00  3.5000E+01
   1.8  2.0459E+03  -2.9888E+01  1.5788E+00  3.5000E+01
   1.9  1.9784E+03  -3.9208E+01  1.5824E+00  3.5000E+01
   2.0  1.9127E+03  -4.8419E+01  1.5865E+00  3.5000E+01
